,duration,recommended_price,country_code
Cuneo,11400,13,IT
Darmstadt,27600,34,DE
Desenzano Del Garda,6000,6,IT
Desenzano del Garda,6000,6,BOH
Domodossola,6600,7,IT
Dornbirn,14400,16,AT
Duttogliano,18000,22,SI
Ecublens,16800,18,BOH
Empoli,13800,17,IT
Erba,4200,2,IT
Faenza,12000,14,IT
Fano,15000,20,IT
Farniole,16800,21,IT
Fermo,19800,26,IT
Ferno,3600,2,IT
Ferrara,11400,14,IT
Ferrovia,12000,14,IT
Fiano Romano,21600,30,IT
Fidenza,5400,5,IT
Finale Ligure,10200,10,IT
Firenze,13800,17,IT
Foggia,29400,41,BOH
Follonica,16800,21,BOH
Forlì,12600,15,IT
Frattamaggiore,29400,41,IT
Frattaminore,29400,41,IT
Friedrichshafen,17400,18,DE
Frosinone,25800,34,IT
Gaeta,29400,39,BOH
Gallipoli,41400,58,IT
Genova,9000,8,IT
Ginevra,15600,17,BOH
Ginosa,36600,52,IT
Giulianova,21600,29,IT
Gorizia,16800,21,IT
Gradisca D'isonzo,15600,20,IT
Grassa,3000,1,BOH
Graz,27600,36,AT
Grenoble,16800,20,FR
Grisignano Di Zocco,10200,12,BOH
Grosseto,18600,23,BOH
Imperia,11400,13,IT
Iseo,5400,4,IT
Ivrea,6000,6,IT
Jesi,18000,23,BOH
Kelheim,26400,33,DE
La Spezia,10800,12,IT
Lago Maggiore,6600,5,IT
Le Grand-Saconnex,15600,18,BOH
Lecce,39000,56,IT
Lecco,4200,3,IT
Legnaro,11400,14,IT
Lido Di Camaiore,12000,14,IT
Lindau,15600,17,DE
Lione,19800,24,FR
Livigno,15600,12,IT
Livorno,13200,16,IT
Locarno,6600,6,CH
Locorotondo,36600,52,IT
Londra,53400,69,BOH
Losanna,16800,18,CH
Lucca,12600,15,IT
Lucerna,12000,13,CH
Lugano,5400,4,CH
Luino,6600,5,IT
Lussemburgo,30600,40,BOH
Macerata,19800,26,IT
Maddaloni,29400,41,IT
Magland,13200,14,FR
Magnano,6000,5,BOH
Manduria,39000,55,IT
Mannheim,26400,32,DE
Manno,4800,4,CH
Mantova,9600,10,IT
Maratea,38400,53,IT
Marcon-Gaggio Zona Commerciale,12000,15,BOH
Marina,52200,69,BOH
Marina Di Andora,10800,12,IT
Marsiglia,22800,28,FR
Martina Franca,37200,52,IT
Massa,11400,13,BOH
Mentone,13800,16,FR
Mesagne,38400,55,IT
Mezzolombardo,11400,13,IT
Međugorje,39600,54,BA
Milano Marittima,13200,17,IT
Modena,9000,9,IT
Monaco Di Baviera,22800,27,DE
Monaco di Baviera,22800,27,BOH
Monaco-Ville,14400,16,BOH
Monfalcone,16800,20,IT
Montebelluna,13200,14,BOH
Montecatini Terme,13200,16,IT
Montepulciano,18000,22,IT
Monterosso Al Mare,12600,12,IT
Montpellier,27600,35,FR
Morbegno,6600,5,IT
Mottola,35400,51,IT
Mulhouse,18000,20,FR
Mussolente,12600,14,IT
Napoli,30000,42,IT
Nereto,21000,29,IT
Neuchâtel,18600,20,CH
Nizza,15000,17,FR
Nocera Inferiore,30600,43,IT
Noci,36000,51,IT
Nola,-1,-1,BOH
Novara,4200,3,IT
Noventa Di Piave,12600,16,IT
Novi Ligure,5400,5,BOH
Olten,14400,16,CH
Opicina,17400,22,IT
Orio al Serio,3600,2,IT
Orte,20400,27,IT
Orvieto,19200,25,IT
Ottaviano,30000,43,IT
Ottignies-Louvain-La-Neuve,36600,49,BE
Oullins,20400,25,BOH
Paderborn,37200,48,DE
Padova,11400,13,IT
Palagianello,36000,51,IT
Parigi,34800,46,FR
Parma,6600,7,IT
Perugia,19200,24,BOH
Pesaro,15000,20,IT
Pescara,22800,32,IT
Peschiera Del Garda,6600,7,IT
Piacenza,4800,3,IT
Pisa,12600,15,BOH
Plan-Les-Ouates,15000,17,CH
Ponte San Giovanni,19200,24,BOH
Pontedera,13800,17,IT
Pontida,4200,3,BOH
Pordenone,14400,18,IT
Porto Recanati,18000,24,IT
Portogruaro,13800,17,BOH
Praga,36600,47,BOH
Prato,12600,16,IT
Punta Raisi,62400,82,IT
Rapallo,9600,9,IT
Ravenna,12600,16,BOH
Reggio Emilia,7200,8,IT
Riccione,13800,18,IT
Rimini,13800,18,IT
Rivoli,7200,8,IT
Roccabruna Sul Capo Martino,13800,16,FR
Rocchetta di vara,11400,13,IT
Roma,23400,31,IT
Ronchi,6600,7,IT
Rovereto,10200,10,IT
Rovigo,12000,13,IT
Rutigliano,34800,49,IT
Sachseln,12600,13,BOH
Saint-Louis,-1,-1,BOH
Saint-Tropez,20400,23,FR
Salerno,31200,44,IT
Saluzzo,10800,11,IT
Sammichele Di Bari,34800,49,IT
San Bartolomeo Al Mare,11400,12,BOH
San Benedetto Del Tronto,19800,27,BOH
San Donà Di Piave,13200,16,IT
San Gallo,15000,17,CH
San Giovanni In Marignano,13800,19,IT
San Lazzaro Di Savena,10200,12,BOH
San Lorenzo Al Mare,12000,13,BOH
San Marino,14400,18,SM
San Martino In Campo,19200,25,IT
San Salvo,26400,36,IT
San Severo,28800,40,IT
San Vendemiano,13800,17,BOH
Sandweiler,30000,39,LU
Sankt Margrethen,14400,16,CH
Sanremo,13200,14,BOH
Santa Eufemia Lamezia,44400,62,BOH
Santena,7200,9,IT
Santhià,5400,5,IT
Santuario,10200,10,IT
Sapri,37800,52,IT
Sarentino,14400,16,BOH
Sarno,30000,43,IT
Sarzana,10800,12,BOH
Sava,39000,55,IT
Savona,9000,9,IT
Scandicci,12600,16,IT
Scapezzano,16800,21,IT
Scilla,49200,67,IT
Senigallia,16800,21,IT
Seregno,3000,1,IT
Serravalle Scrivia,5400,5,IT
Sesto Fiorentino,12600,16,IT
Sestri Levante,10200,10,IT
Settimo Torinese,6600,7,IT
Siena,16800,20,IT
Sion,13800,13,CH
Somaggia,7200,6,IT
Sondrio,9000,7,IT
Spoleto,21000,27,BOH
Stazione Ferroviaria,16800,21,IT
Stoccarda,22800,27,DE
Strasburgo,21000,26,FR
Stresa,5400,5,IT
Succivo,29400,41,IT
Taranto,37200,53,IT
Teramo,21600,30,IT
Terme Di Spezzano Albanese,41400,56,IT
Termoli,27000,37,IT
Terni,21000,29,IT
Todi,20400,26,BOH
Toirano,9600,11,IT
Tolosa,36000,48,FR
Torino,7200,8,IT
Traona,7200,6,IT
Trento,10800,12,IT
Treviso,12600,15,BOH
Trieste,18000,22,IT
Udine,15600,20,IT
Ulma,19800,23,DE
Varese,4200,3,IT
Venezia,12000,14,IT
Ventimiglia,13200,15,IT
Verbania,6000,5,IT
Verona,8400,8,IT
Vevey,15000,17,CH
Viareggio,12000,14,IT
Vibo Valentia,46200,63,IT
Vicenza,9600,11,IT
Vienna,34200,47,BOH
Vigonza,11400,13,IT
Villaco,20400,27,AT
Wiesbaden,28800,37,DE
Winnenden,25200,29,DE
Zagabria,26400,34,HR
Zola Predosa,9600,11,BOH
Zona Industriale Bellocchi,15000,20,IT
Zurigo,13800,15,CH
École-Valentin,22200,27,FR
Épalinges,16800,18,CH
Évian-Les-Bains,17400,19,BOH
