,duration,recommended_price,country_code
Busseto,6000,5,IT
Busto Arsizio,3600,2,IT
Béziers,30000,39,FR
Cairo Montenotte,10200,10,IT
Calais,43200,62,FR
Calenzano,12600,15,IT
Calolziocorte,4800,2,IT
Caluso,6000,7,IT
Calvignasco,3600,1,IT
Cantù,3600,1,IT
Capodistria,18600,24,SI
Capriate San Gervasio,3000,2,IT
Capua,28800,40,IT
Carbonera,12600,16,IT
Caresanablot,4800,4,IT
Carisio,4800,4,IT
Carnate,3000,1,IT
Caronno Pertusella,3000,1,IT
Carpenedolo,6000,6,IT
Carpi,9000,10,IT
Carrara,11400,13,IT
Carugate,2400,1,IT
Casale Monferrato,5400,5,IT
Casalecchio Di Reno,9600,11,IT
Casalmaiocco,3000,1,IT
Casarsa Della Delizia,14400,19,IT
Cascia,24600,29,IT
Casciago,4800,3,IT
Cascina,13200,16,IT
Cascina Malpensa,4200,3,IT
Caselle,6600,8,IT
Caserta,29400,41,IT
Cassano D'adda,3600,1,IT
Cassino,27000,37,IT
Castel D'azzano,8400,8,IT
Castel San Pietro,4200,3,CH
Castel San Pietro Terme,10800,13,IT
Castelfidardo,18000,24,IT
Castelfranco Emilia,9600,10,BOH
Castelfranco Veneto,12000,13,IT
Castellammare Di Stabia,31200,43,IT
Castelletto Sopra Ticino,4800,3,IT
Castelli Calepio,4200,3,IT
Castelnuovo Scrivia,4200,3,IT
Castelrotto,13800,16,IT
Castelvetro Di Modena,9600,10,IT
Castenedolo,5400,5,IT
Castione,9000,7,IT
Catania,55800,73,IT
Catanzaro,46200,63,IT
Cattolica,13800,19,IT
Cavaillon,23400,30,FR
Cavalese,13200,15,IT
Cavriana,7200,7,IT
Cecina,13800,18,IT
Celle Ligure,8400,9,IT
Cento,10800,11,IT
Cermenate,3000,1,IT
Cernobbio,4200,3,IT
Cervia,13200,17,IT
Cervo,11400,12,IT
Cesate,3000,1,IT
Cesena,12600,16,IT
Cesenatico,13200,17,IT
Chamonix-Mont-Blanc,12000,13,FR
Champoluc,9600,9,IT
Charleroi,36600,48,BE
Chatillon,34200,46,BOH
Chianciano Terme,18000,23,IT
Chiaravalle,16800,22,IT
Chiasso,4200,3,CH
Chiavari,10200,9,IT
Chiavenna,9000,6,IT
Chiesa In Valmalenco,10200,8,IT
Chieti,22800,32,IT
Chiusi Della Verna,17400,21,IT
Chivasso,6000,6,IT
Cinisello Balsamo,3000,1,IT
Cividate Camuno,7200,6,IT
Civitanova Marche,18600,25,IT
Civitavecchia,22200,29,IT
Cles,12600,14,IT
Codogno,4200,3,IT
Codroipo,15000,19,IT
Cogoleto,7200,8,IT
Coira,12000,12,CH
Colico Piano,6000,5,IT
Colle Sestriere,11400,13,IT
Collegno,7200,8,IT
Colmar,19200,22,FR
Cologna Veneta,9600,10,IT
Cologno Monzese,2400,1,IT
Como,4200,2,IT
Concesio,5400,5,IT
Conegliano,13200,17,IT
Conselve,12000,14,IT
Corbetta,3000,1,IT
Corciano,18600,24,IT
Corigliano Calabro,42600,59,IT
Cormano,2400,1,IT
Correggio,9000,9,IT
Cortina D'ampezzo,19200,22,IT
Cortona,18000,22,IT
Cossato,5400,5,IT
Costa Di Mezzate,4200,3,IT
Costa Masnaga,3600,2,IT
Costanza,82200,110,BOH
Courmayeur,10200,12,IT
Cracovia,52200,72,PL
Craiova,59400,75,RO
Crans-Montana,14400,13,CH
Crema,4200,2,IT
Cremona,5400,5,IT
Crescentino,6000,6,IT
Crevoladossola,7200,7,IT
Cuneo,11400,13,IT
Dalmine,3600,2,IT
Darfo,7200,5,IT
Desenzano Del Garda,6000,6,IT
Desenzano del Garda,6000,6,IT
Desio,3000,1,IT
Diano Marina,11400,12,IT
Domodossola,6600,7,IT
Drăgășani,67800,90,RO
Dueville,10200,12,IT
Dumbrăvești,73800,96,BOH
Düsseldorf,36600,47,DE
Edolo,10200,9,IT
Eindhoven,39600,52,NL
Endine,5400,4,IT
Entreves,10200,12,IT
Fabriano,19800,25,IT
Faenza,12000,14,IT
Fai Della Paganella,12000,13,IT
Falconara Marittima,17400,23,IT
Faloppio,4200,2,IT
Fano,15000,20,IT
Farniole,16800,21,IT
Farra Di Soligo,14400,15,IT
Feltre,14400,16,IT
Fermo,19800,26,IT
Ferno,3600,2,IT
Ferrara,11400,14,IT
Ferrovia,12000,14,IT
Fidenza,5400,5,IT
Figline E Incisa Valdarno,13800,18,IT
Figline Valdarno,14400,18,IT
Finale Ligure,10200,10,IT
Fino Mornasco,3600,2,IT
Fiorano,9000,10,IT
Firenze,13800,17,IT
Foggia,29400,41,IT
Foligno,20400,26,IT
Follonica,16800,21,IT
Fondi,28200,37,IT
Forlimpopoli,12600,16,IT
Forlì,12600,15,IT
Fornacette,13200,16,IT
Forte Dei Marmi,11400,13,IT
Fossano,10200,10,IT
Fossombrone,16800,21,IT
Francoforte,28800,36,DE
Frauenfeld,16800,18,CH
Friburgo In Brisgovia,19200,22,DE
Friedrichshafen,17400,18,DE
Gabicce Mare,14400,19,IT
Gallarate,3600,2,IT
Gallo,7200,8,IT
Gambolò,4800,3,IT
Gandino,5400,4,IT
Gardone Val Trompia,6600,5,IT
Gatteo,12600,17,IT
Gavi,6000,5,IT
Genova,9000,8,IT
Ginevra,15600,17,CH
Giovenzano,3600,1,IT
Giovinazzo,33600,47,IT
Girona,36600,48,ES
Giulianova,21600,29,IT
Gorizia,16800,21,IT
Gorla Maggiore,3600,2,IT
Gorlago,4200,3,IT
Grancia,4800,4,CH
Gravedona,7200,6,IT
Gravellona Toce,5400,5,IT
Graz,27600,36,AT
Grenoble,16800,20,FR
Gressoney-La-Trinitè,12000,9,IT
Gressoney-Saint-Jean,9600,9,IT
Gropello Cairoli,3600,2,IT
Grosseto,18600,23,IT
Grottammare,19800,27,IT
Grugliasco,7200,8,IT
Guanzate,3000,2,IT
Guastalla,9000,9,IT
Gussago,5400,4,IT
Heidelberg,25200,31,DE
Hella,8400,8,IT
Hyères,21000,25,FR
Imola,11400,14,IT
Imperia,11400,13,IT
Impruneta,13200,17,IT
Innsbruck,18000,21,AT
Ispra,4800,3,IT
Istrana,12600,14,IT
Ivrea,6000,6,IT
Jesi,18000,23,IT
Karlsruhe,22800,29,DE
Küssnacht,12000,13,CH
L'aquila,25200,33,IT
LI,13800,14,BOH
La Celle-Sous-Gouzon,30600,38,FR
La Spezia,10800,12,IT
La Thuile,11400,12,IT
Laax,12600,12,CH
Laigueglia,11400,12,IT
Lainate,3000,1,IT
Lamezia Terme,45000,62,IT
Lancenigo,12600,16,IT
Latina,27000,36,IT
Lavagna,10200,10,IT
Laveno-Mombello,5400,4,IT
Lavis,10800,12,IT
Lazise,7200,7,IT
Le Grand-Saconnex,15600,18,CH
Lecce,39000,56,IT
Leccio,13800,18,IT
Lecco,4200,3,IT
Legnago,10200,11,IT
Legnano,3000,1,IT
Lerici,10800,12,IT
Leukerbad,13800,12,CH
Levanto,12000,12,IT
Lido Di Ostia,25200,33,IT
Lignano Sabbiadoro,14400,19,IT
Limone Piemonte,12600,15,IT
Linate,2400,1,IT
Lindau,15600,17,DE
Lione,19800,24,FR
Livigno,15600,12,IT
Livinallongo del col di lana,18600,19,IT
Livorno,13200,16,IT
Loano,10200,11,IT
Locarno,6600,6,CH
Locate Di Triulzi,3000,1,IT
Lodi,3600,2,IT
Londra,53400,69,BOH
Longarone,15000,19,BOH
Losanna,16800,18,CH
Lovere,6000,4,IT
Lubiana,20400,27,SI
Lucca,12600,15,IT
Lucera,29400,41,IT
Lucerna,12000,13,CH
Lugano,5400,4,CH
Lugo,69600,100,BOH
Luino,6600,5,IT
Lurago Marinone,3600,2,IT
Lussemburgo,30600,40,BOH
Maastricht,37200,48,NL
Macerata,19800,26,IT
Macugnaga,10200,8,IT
Madesimo,10200,7,IT
Madonna Di Campiglio,13800,12,IT
Magreglio,5400,3,IT
Maida,45600,62,BOH
Malgrate,4200,2,IT
Malè,13200,15,IT
Mandelieu-La-Napoule,16800,19,FR
Mannheim,26400,32,DE
Manno,4800,4,CH
Mantova,9600,10,IT
Maranello,9600,10,IT
Maresso,3000,1,IT
Mariano Comense,3600,1,IT
Marina Di Massa,11400,13,IT
Marino,24600,32,IT
Marostica,11400,13,IT
Marotta,15000,21,IT
Marsiglia,22800,28,FR
Martigny,13200,14,CH
Martina Franca,37200,52,IT
Massa,11400,13,IT
Massa Finalese,10800,11,IT
Masseria Fortino,31200,44,IT
Megève,13800,14,FR
Melzo,3000,1,IT
Memmingen,18600,20,DE
Menaggio,6000,4,IT
Mendrisio,4200,3,CH
Mentone,13800,16,FR
Merano,13200,16,IT
Meyrin,15600,18,CH
Milano,-1,-1,IT
Milano Marittima,13200,17,IT
Mirano,11400,14,IT
Modena,9000,9,IT
Moggio,5400,3,IT
Mogliano Veneto,12000,14,IT
Molini di Triora,14400,15,BOH
Mombello Di Torino,8400,8,IT
Monaco Di Baviera,22800,27,DE
Monaco di Baviera,22800,27,DE
Monaco-Ville,14400,16,MC
Monfalcone,16800,20,IT
Montano,27600,39,BOH
Montbéliard,19800,23,FR
Montebelluna,13200,14,IT
Montecampione,9000,7,IT
Montecatini Terme,13200,16,IT
Montecchio Maggiore-Alte Ceccato,9600,10,IT
Montelera,8400,8,IT
Montelupo Fiorentino,13200,17,IT
Montelupone,19200,25,IT
Montepulciano,18000,22,IT
Montorio al Vomano,23400,31,IT
Montpellier,27600,35,FR
Montreux,15000,16,CH
Monza,3000,1,IT
Morbegno,6600,5,IT
Morgex,10200,11,IT
Moron,403800,441,BOH
Mortegliano,15000,20,IT
Mossini,9000,7,IT
Motta Visconti,3600,1,IT
Mozzo,3600,2,IT
Muggiò,2400,1,IT
Musile Di Piave,12600,16,IT
Mâcon,20400,25,FR
Nancy,25800,30,FR
Napoli,30000,42,IT
Nembro,4200,3,IT
Neuchâtel,18600,20,CH
Nibionno,3600,2,IT
Nizza,15000,17,FR
Nizza Monferrato,7200,7,IT
Nommern,30600,39,LU
Norimberga,26400,33,DE
Novara,4200,3,IT
Nove,11400,13,IT
Novegro-Tregarezzo,2400,1,IT
Novi Ligure,5400,5,IT
Nuova Ulma,19800,23,DE
Occhieppo Inferiore,6000,5,IT
Occhiobello,11400,14,IT
Oggiono,4200,2,IT
Oleggio,4200,3,IT
Olevano Di Lomellina,5400,4,IT
Opfikon,14400,16,CH
Opicina,17400,22,IT
Orio Al Serio,3600,2,IT
Orio al Serio,3600,2,IT
Ornavasso,5400,5,IT
Orte,20400,27,IT
Orvieto Scalo,18600,25,IT
Ospedale,6000,6,IT
Ostra,16800,22,IT
Outlet,5400,5,IT
Ovada,6000,6,IT
Paderno Dugnano,2400,1,IT
Padova,11400,13,IT
Palazzolo Sull'oglio,4800,3,IT
Pallanzeno,6000,6,IT
Palmanova,15000,19,IT
Pandino,3600,2,IT
Paradiso,15000,19,BOH
Paratico,4800,4,IT
Parigi,34800,46,FR
Parma,6600,7,IT
Passignano Sul Trasimeno,18000,23,IT
Passo Del Tonale,12600,9,IT
Pavia,4200,2,IT
Pergine Valsugana,11400,12,IT
Perugia,19200,24,IT
Pesaro,15000,20,IT
Pescara,22800,32,IT
Peschiera Del Garda,6600,7,IT
Piacenza,4800,3,IT
Pian Camuno,6600,5,IT
Pietra Ligure,10200,11,IT
Pietrasanta,11400,13,IT
Pieve Di Soligo,13800,17,IT
Pieve Ligure,9600,8,IT
Pinerolo,9600,10,IT
Pinzolo,12600,11,IT
Pioltello,2400,1,IT
Piombino,16800,21,IT
Piovene Rocchette,10800,13,IT
Pisa,12600,15,IT
Pistoia,13200,17,IT
Plan-Les-Ouates,15000,17,CH
Poggio Rusco,10800,12,IT
Pogno,5400,4,IT
Policastro Bussentino,37200,52,IT
Pont-Saint-Martin,44400,60,BOH
Pontasserchio,12600,15,IT
Ponte Di Legno,11400,9,IT
Ponte Nelle Alpi,14400,19,IT
Ponte San Giovanni,19200,24,IT
Ponte San Pietro,4200,2,IT
Ponte Taro,6000,6,IT
Ponte Tresa,6000,5,CH
Pontecorvo,26400,37,IT
Pontremoli,9600,10,IT
Pordenone,14400,18,IT
Porto Potenza Picena,18600,25,IT
Porto Recanati,18000,24,IT
Porto San Giorgio,19200,26,IT
Porto Sant'elpidio,19200,26,IT
Portogruaro,13800,17,IT
Prato,12600,16,IT
Prato Sesia,4800,4,IT
Prignano Sulla Secchia,10800,11,IT
Périssac,38400,53,FR
Quarona,6000,5,IT
Quarto D'altino,12000,15,IT
Ragusa,61200,79,IT
Rapallo,9600,9,IT
Ravenna,12600,16,IT
Ravensburg,18000,19,DE
Recanati,18600,25,IT
Recco,9600,9,IT
Reggello,14400,18,IT
Reggio Calabria,49800,68,IT
Reggio Emilia,7200,8,IT
Reggio nell'Emilia,7200,8,IT
Reisenschuh,15000,19,IT
Rescaldina,3000,1,IT
Reutlingen,22800,27,DE
Rho,2400,1,IT
Riccione,13800,18,IT
Rimini,13800,18,IT
Riva Del Garda,10200,9,IT
Riva presso Chieri,7200,8,IT
Rivarolo Canavese,7200,7,IT
Rivoli,7200,8,IT
Rodengo-saiano,4800,4,IT
Rolle,17400,20,CH
Roma,23400,31,BOH
Romagnano Sesia,4800,4,IT
Roncadelle,4800,4,IT
Ronchi,6600,7,IT
Roncone,10800,9,IT
Roquebrune-Cap-Martin,13800,16,FR
Roseto Degli Abruzzi,21600,30,IT
Rotterdam,43200,57,NL
Rovato,4800,4,IT
Rovereto,10200,10,IT
Rovigo,12000,13,BOH
Rozzano,3000,1,IT
Sachseln,12600,13,BOH
Sacile,13800,18,IT
Saint-Christophe,43800,54,BOH
Saint-Laurent-Du-Var,15000,18,FR
Saint-Vincent,7200,8,IT
Saldina,10800,11,IT
Salerno,31200,44,IT
Sallanches,12600,14,FR
Salsomaggiore Terme,6000,6,IT
Salò,6600,7,IT
San Bartolomeo Al Mare,11400,12,IT
San Benedetto Del Tronto,19800,27,IT
San Donato Milanese,2400,1,IT
San Donà Di Piave,13200,16,IT
San Fedele Intelvi,6000,4,IT
San Gallo,15000,17,CH
San Giorgio Canavese,6600,7,IT
San Giovanni Lupatoto,8400,9,IT
San Giovanni Rotondo,30600,41,IT
San Lazzaro Di Savena,10200,12,IT
San Lorenzo Di Parabiago,3000,1,IT
San Mariano,-1,-1,BOH
San Marino,14400,18,SM
San Martino Buon Albergo,7200,9,IT
San Martino Di Castrozza,17400,17,IT
San Martino In Campo,19200,25,IT
San Martino in Rio,8400,9,IT
San Maurizio,7200,8,IT
San Mauro Torinese,6600,7,IT
San Pietro Al Natisone,17400,22,IT
San Pietro In Cariano,8400,9,IT
San Salvatore Monferrato,5400,5,IT
San Sebastián,48000,67,ES
San Vigilio,5400,5,BOH
Sandrigo,10800,12,IT
Sankt Margrethen,14400,16,CH
Sanremo,13200,14,IT
Sansepolcro,16800,21,IT
Santa Caterina,13200,11,IT
Santa Margherita Ligure,10200,9,IT
Santarcangelo Di Romagna,13200,17,IT
Santhià,5400,5,IT
Santo Stefano Di Magra,10200,11,IT
Santuario,10200,10,IT
Sarcedo,10800,13,IT
Sarnico,4800,4,IT
Saronno,3000,1,IT
Sarzana,10800,12,IT
Sassetta,16800,19,IT
Sassuolo,9000,10,IT
Satriano di Lucania,36000,50,IT
Sauze D'oulx,10800,12,IT
Savigliano,10200,10,BOH
Savona,9000,9,IT
Scandicci,12600,16,IT
Schio,11400,13,IT
Schorndorf,24600,28,DE
Scorrano,41400,58,IT
Segni,25200,33,IT
Segrate,2400,1,IT
Selva Di Val Gardena,15000,17,IT
Senago,2400,1,IT
Senigallia,16800,21,IT
Seregno,3000,1,IT
Seriate,4200,2,IT
Serravalle,13800,15,BOH
Serravalle Scrivia,5400,5,IT
Sesto Calende,4200,3,IT
Sesto Fiorentino,12600,16,IT
Sesto San Giovanni,2400,1,IT
Sesto Ulteriano,2400,1,IT
Sestri Levante,10200,10,IT
Settimo Milanese,3000,1,IT
Settimo Torinese,6600,7,IT
Sevelen,13200,14,CH
Seveso,3000,1,IT
Siena,16800,20,IT
Silea,12000,15,IT
Sillian,19200,21,AT
Simplon,9000,8,BOH
Sion,13800,13,CH
Siracusa,59400,77,IT
Sirmione,7200,7,IT
Sommacampagna,6600,8,IT
Sondrio,9000,7,IT
Soraga,14400,16,IT
Spoleto,21000,27,IT
Spotorno,9600,10,IT
Stabio,4200,3,CH
Stazione,13200,16,BOH
Stoccarda,22800,27,DE
Stoccolma,87000,114,SE
Storo,10200,9,IT
Strasburgo,21000,26,FR
Stresa,5400,5,IT
Suello,3600,2,IT
Sulmona,25800,35,IT
Susa,9000,10,IT
Svitto,11400,12,CH
Tai Di Cadore,16800,21,IT
Taranto,37200,53,IT
Tavernelle,19200,24,BOH
Teramo,21600,30,IT
Termoli,27000,37,IT
Terni,21000,29,IT
Thiene,10800,13,IT
Thonon-Les-Bains,16800,18,FR
Tirano,10800,8,IT
Tolone,21000,25,FR
Torino,7200,8,IT
Torri di Quartesolo,9600,11,IT
Tortona,4800,4,IT
Tradate,4200,2,IT
Travagliato,4800,4,IT
Travo,6000,5,IT
Trento,10800,12,IT
Treviso,12600,15,IT
Trezzo Sull'adda,3000,1,IT
Tribiano,3000,1,IT
Tricesimo,16800,21,IT
Trieste,18000,22,IT
Trivolzio,3600,2,IT
Tromello,4200,3,IT
Udine,15600,20,IT
Ulma,19800,23,DE
Uscita Firenze Impruneta,13200,17,IT
Vado Ligure,9000,9,IT
Valdagno,10800,11,IT
Valdengo,6000,5,IT
Varazze,8400,8,IT
Varedo,2400,1,IT
Varese,4200,3,IT
Varzo,7200,7,IT
Vedelago,12000,14,IT
Venezia,12000,14,IT
Ventimiglia,13200,15,IT
Verano,14400,16,IT
Verbania,6000,5,IT
Vercelli,5400,4,IT
Vergiate,4200,3,IT
Vermezzo,3600,1,IT
Vernate,3000,1,IT
Verona,8400,8,IT
Verrayes,9600,9,BOH
Verrone,5400,5,IT
Verrès,6600,8,IT
Vevey,15000,17,CH
Vezia,5400,4,CH
Viareggio,12000,14,IT
Vicenza,9600,11,IT
Vicoforte,10800,11,IT
Vicolungo,4200,3,IT
Vidracco,6600,7,IT
Vienna,34200,47,AT
Vigevano,4800,2,IT
Vigo Di Fassa,15000,17,IT
Villa Carcina,5400,5,IT
Villa guardia,3600,2,IT
Villaco,20400,27,AT
Villafranca In Lunigiana,10200,10,IT
Villanova D'albenga,10800,11,IT
Villanova D'asti,7200,8,IT
Vimercate,3000,1,IT
Vipiteno,14400,18,IT
Viterbo,21000,28,IT
Vitoria-Gasteiz,51600,72,ES
Vittorio Veneto,13200,17,IT
Vittuone,3000,1,IT
Voghera,4800,3,IT
Volpago Del Montello,13200,14,IT
Volvera,8400,9,IT
Vétroz,13800,13,CH
Wiesbaden,28800,37,DE
Woluwe-Saint-Lambert,37200,49,BE
Würzburg,26400,33,DE
Zagabria,26400,34,HR
Zola Predosa,9600,11,IT
Zona Industriale Bellocchi,15000,20,IT
Zoppola,14400,19,IT
Zurigo,13800,15,CH
Černivci,76200,94,UA
